accuracy,loss,val_accuracy,val_loss
0.6690000295639038,0.8061873316764832,0.8050000071525574,0.4467098116874695
0.8519999980926514,0.3661908209323883,0.7749999761581421,0.4369961619377136
0.8640000224113464,0.30750399827957153,0.800000011920929,0.38721999526023865
0.8920000195503235,0.26830145716667175,0.8399999737739563,0.3274053633213043
0.9139999747276306,0.24116116762161255,0.8500000238418579,0.34711959958076477
0.9079999923706055,0.23639728128910065,0.8600000143051147,0.2984926104545593
0.9179999828338623,0.2108544260263443,0.8450000286102295,0.35414597392082214
0.9089999794960022,0.23431836068630219,0.8550000190734863,0.3183002173900604
0.9190000295639038,0.21104377508163452,0.8500000238418579,0.3402250409126282
0.921999990940094,0.20659399032592773,0.8899999856948853,0.3033684194087982
0.9240000247955322,0.19234001636505127,0.8700000047683716,0.3062859773635864
